text,label
arnavutluk avrupa dışişleri bakan vekil cakaj istifa et,1
rusya dışişleri bakan lavrov türkiye rusya arası ilişki derece kıymet,1
millî savun bakan ak ortak merkez görev yap per azerbaycan git,1
millî savun bakan ak ortak merkezî inşa bit faaliyet geç art general subay derhâl görev baş,1
millî savun bakan ak ortak merkez görev yap per azerbaycan git aç,1
bakan kasapoğlunun tercih lastik voleybol saha,1
bakan soylu türkiye pkklı terörist sayı altın,1
haber akademi ülke gazete eğit verdi,1
çevre şehir bakan elâzığ sivriç ocak meydan gelen deprem yıkı bina yerine inşa edi blok konut yer afetzede yeni yıl ev karşı,1
ukrayna dışişleri bakan kuleba iran adalet kaç izin ver,1
bakan pekcan bir kral an ocak tarihî devre gir hiçbir süre kayıp ol,1
dışişleri bakan çavuşoğlu yap biz egemen hak saldırı,1
iç bakan soylu türkiye pkklı terörist sayı altın,1
bakan pekcan bugün insan beklenti karşı onlar ver söz yerine getir memnuniyet yaşa,1
bakan pekcan insan gönül rahat biz için açı kritik pazar ol ingiltere ticaret sür,1
can ticaret bakan pekcan türkiye bir kral arası serbest ticaret an imza tören video konferans katı,1
bakan pekcan bir kral ara ticaret yapı ilgi belirsiz kal ticaret inan daha gel,1
bakan pekcan serbest ticaret an bugün türkiyebirleşik kral ilişki bakımından önemli tarihî günü yaşa,1
cumhurbaşkanı erdoğan avukat özel vekâlet ücret aç iftira yalandan ibaret,1
ulaş altyapı bakan karaismailoğlu yeni eylem plan siber tehdit etki daha azal,1
dışişleri bakan çavuşoğlu rusya mevcut kota dol art türkiye domates ihraç yönel kota art söyle,1
emin erdoğan cumhurbaşkanı erdoğan leblebi birlikte uğur,1
iç bakan süleyman soylu türkiye pkklı terörist sayı altın ol söyle,1
venezuela devlet başkan maduro guaidonun meclis başkan uza anayasa aykırı,1
genç spor bakan kasapoğlu millî spor ortaöğretim yüzde burs imkân tanı protokol imza aç,1
can genç spor bakan mehmet muharrem kasapoğlu bakan özel öğret dernek arası spor öğrenci eğit bir protokol imza tören katı,1
cumhurbaşkanı erdoğan restorasyon tamam ankara devlet resim heykel müze açı program kon,1
iç bakan vali ev başvuru yönel yeni düzen içer ev işlem konu genelge gönder,1
cumhurbaşkanı erdoğan kabine toplantı art ingiltere serbest ticaret an değer,1
aile çal sosyal hizmet bakan selçuk sokak çık kısıt nedeniyle emek sandık kapsam vatan ay erken öde,1
millî savun bakan silah kaza uç şereflikoçhisar asker şehit oldu,1
temsil meclis kovid nakit destek dolar çık onay,1
