text,label
erdoğan aslında yer çoktan al diğer dünya güçlü devlet ol bek,1
ticaret bakan esnaf destek müjde millî piyango siz çık,1
saray yak toplam yan sayı nihayet belirle,1
tamamen iktidar borazan ol haber kanal boyun tahammül edebî yönet demokrasi geç konu umut verdi,1
linin yer maaş al al türkiye müşavir yer maaş al şaş yaşa dur kadar kötü,1
halk güven tekrar kazan çalışan sağlık bakan koca çin gelecek milyon aşı kamera ön saya,1
esnaf ihtimal veri sadaka hâllice destek için dilenci ol şart ara ticaret bakan ruhsar pekcan birazdan can yayın,1
cumhurbaşkanı erdoğan şimdi bun duy ol cuma günü millet müjde olacak,1
pandemi nedeniyle boşal istanbul sokak tat akpnin yeni rıza sarraf çık,1
cumhurbaşkanı erdoğan hamza yerlikayaya geçmiş ol mesaj,1
bir ekonomi bat kasa tak yap milyonlarca insan iş aç sağlık perelini öl esnaf bat mahkûm ede akpmhp iki bugün keyif yerinde oooh,1
hayat kaybet per yakın maaş bağ için covidu meslek hasta say sağlık bakan bütçe yapı tasarruf gün tablo ek hazır,1
bakan selçuk berat albayrak yokluk his karar,1
hazine maliye bakan rahat aç aşı falan ol bandrol ücret al,1
ulaş bakan cuma akşam trafik tren maltepe kadar git ol başarı biz,1
pakistan sağlık bakan koronavirüs dua dene geç aç,1
sağlık bakan kritik uyarı böyle git gerçek vefat sayı ver zorun kal,1
cumhurbaşkanı erdoğan yani özet covid nedeniyle sokak çık yasak uygula,1
erdoğan mağdur ol esnaf kendi destek talep bul,1
cumhurbaşkanı erdoğan hamdolsun kapitülasyon nokta osmanlının miras sahip çık devam et katar,1
sağlık bakan mart karantina sayesinde dünya gelen çocuk sayı gün ol aç duy,1
halk ses deniz milletvekili nilgün ön araba mi yılönce,1
cumhurbaşkanı erdoğan reform için ittifak ortak ikna çaba sürü,1
berat albayrak ben alaka yokmuş ahahahaha,1
hazine maliye bakan etap milyon reçete hazır ol bil,1
yiyici hareket dur esnaf destek için yol düzey akpli beraberinde restoran yemek yiyecek,1
hükûmet kanat gelen çelişki aç raşi yargı vardiya hukuk dönem kanun göre saray gelen emir göre karar veri,1
sokak röportaj düşün açıklayan tutuk kadın katil organize örgüt lider dışarı özgür muhalif siyaset tehdit et türkiye hala reform yapı adalet kal iddia heyecan yara,1
bakan koca müjde haber covid kısıt ol an bana an ol vatan kısıt muaf tutu,1
hazine maliye bakan koronavirüs aşı için gel çal faz gir aç,1
cumhurbaşkanı erdoğan ekonomi reform dönem kktc piknik uçak git baş,1
akpli külünk birkaç hafta ra yoğun bak kal için öl hain dert ol bilahare aç,1
medya korku hazine maliye bakan istifa haber yap türkiye bakan falan değ ekonomi düzel inan,1
albayrak iste düş de,1
hande fırat istifa ede berat albayrak orjinal değil imitasyon,1
istifa et açıklayan albayrak piyasa tepki dolar olmuş öyle,1
sağlık bakan koca iste sal bit,1
döviz kur baskı altın tutacak para kal yüksek kuru fazilet keşfet bakan albayrak moratoryum fayda baş kon için hazır baş,1
berat albayrak oldu şimdi taraf bak,1
erdoğan zamanında yeterince dağıt bunlar olmaz dağıt kardeş,1
cumhurbaşkanı erdoğan ekmek götür diye evin ol inan muş,1
bakan albayrak bende,1
sağlık bakan kork uyarı istanbul vaka art sür başkan daha fazla görmez gel,1
bakan koca istanbul vaka sayı karekök yozgat top bilecik entübe hasta sayı ver toplam test sayı bul,1
cumhurbaşkanı erdoğan faiz karar açıklayan merkez banka başkan eleştiri hedef ton zayıf diksiyon daha düz olabilir,1
tepki al genç kol genç yönel saye artık ülke gelecek iyi geçmiş biri seç on övün video seri devam ede aç,1
hazine maliye bakan çocuk birlikte ön boyun tane müteahhite borç öde için çal bil yeter geri teferruat,1
erdoğan bun daha kötü olamaz diye allah izin utan,1
cumhurbaşkanı erdoğan yaşa sık parti pay,1
iç bakan anayasa mahkeme arası polemik galibini uzak ışı belirle,1
hazine maliye bakan yüksek vergi nedeniyle gerçek al sahte içki iç gün vaka sayı hasta ol vefat ede il göre dağıl,1
faiz sebep enflasyon uç teorem yıl merkez banka milyar dolar rezerv katı hal hali geç başar cumhurbaşkanı erdoğan maalesef biz karşı kadar önyargılı ol daha gör,1
sağlık bakan ek itibaren gerçek vaka sayı aç karar ant rezervasyon yap kişi turist kafile nedeniyle hafta ertele,1
tüik boyun sür türkiye gün koronavirüs vaka sayı aç görev ek itibaren sağlık bakan devret,1
